datetime,csi1000,csi500,hs300,sse
2006-02-14,934.089,986.056,1038.531,1286.327
2006-02-15,935.766,986.161,1041.66,1299.166
2006-02-16,913.996,958.59,1020.121,1270.633
2006-02-17,907.709,949.993,1020.368,1267.408
2006-02-20,899.591,943.765,1021.639,1267.542
2006-02-21,918.339,960.017,1038.816,1288.419
2006-02-22,919.563,959.947,1037.885,1284.226
2006-02-23,920.871,958.722,1041.373,1288.847
2006-02-24,926.622,967.163,1049.444,1296.866
2006-02-27,926.476,963.379,1047.845,1297.186
2006-02-28,929.381,964.726,1053.01,1299.03
2006-03-01,936.7,972.067,1056.619,1306.586
2006-03-02,917.95,953.369,1038.666,1285.666
2006-03-03,918.007,954.457,1041.677,1293.297
2006-03-06,915.66,952.351,1038.873,1288.955
2006-03-07,889.002,928.576,1014.973,1259.916
2006-03-08,889.969,924.83,1009.271,1250.384
2006-03-09,884.028,920.13,1004.344,1245.166
2006-03-10,885.414,921.683,1008.897,1245.653
2006-03-13,892.683,928.518,1019.864,1259.674
2006-03-14,895.795,931.721,1018.272,1259.044
2006-03-15,902.735,942.689,1028.958,1274.812
2006-03-16,903.933,945.523,1027.616,1274.19
2006-03-17,899.39,943.725,1024.015,1269.462
2006-03-20,908.357,956.138,1037.659,1288.418
2006-03-21,911.14,959.927,1040.757,1290.395
2006-03-22,920.301,972.137,1047.666,1296.706
2006-03-23,931.18,980.841,1048.537,1302.457
2006-03-24,921.306,974.269,1042.601,1294.704
2006-03-27,931.033,984.152,1050.707,1295.915
2006-03-28,933.304,994.52,1055.982,1298.791
2006-03-29,931.044,997.704,1065.294,1305.567
2006-03-30,923.95,986.957,1055.634,1294.718
2006-03-31,923.189,1000.251,1061.088,1298.295
2006-04-03,936.343,1025.788,1079.322,1319.471
2006-04-04,947.245,1038.109,1089.371,1329.798
2006-04-05,954.995,1048.666,1099.97,1340.162
2006-04-06,952.323,1053.693,1103.237,1339.737
2006-04-07,961.437,1068.11,1103.154,1342.965
2006-04-10,980.272,1090.72,1117.91,1359.081
2006-04-11,982.143,1094.409,1123.308,1362.229
2006-04-12,986.351,1095.497,1117.073,1360.132
2006-04-13,960.327,1062.69,1093.925,1332.33
2006-04-14,977.089,1088.183,1118.607,1359.538
2006-04-17,988.191,1093.513,1124.414,1378.614
2006-04-18,986.353,1097.73,1131.281,1385.114
2006-04-19,982.987,1100.661,1138.241,1396.702
2006-04-20,970.807,1091.851,1134.381,1385.9
2006-04-21,972.541,1102.547,1149.158,1416.793
2006-04-24,950.931,1094.375,1142.698,1409.786
2006-04-25,945.522,1103.059,1141.93,1399.767
2006-04-26,956.2,1116.811,1155.726,1417.477
2006-04-27,957.592,1125.32,1155.268,1416.732
2006-04-28,965.291,1141.685,1172.347,1440.223
2006-05-08,993.199,1180.728,1218.445,1497.104
2006-05-09,1022.822,1218.094,1251.611,1531.161
2006-05-10,1037.927,1241.571,1265.933,1545.687
2006-05-11,1033.477,1237.772,1255.035,1537.377
2006-05-12,1066.17,1283.677,1296.257,1602.832
2006-05-15,1108.901,1344.924,1352.155,1664.088
2006-05-16,1080.741,1297.932,1331.127,1613.251
2006-05-17,1101.686,1318.966,1335.523,1625.146
2006-05-18,1121.476,1328.206,1331.201,1617.281
2006-05-19,1153.64,1365.647,1366.097,1659.545
2006-05-22,1183.699,1386.748,1373.674,1657.689
2006-05-23,1138.819,1326.156,1317.654,1604.552
2006-05-24,1119.437,1308.693,1308.242,1590.924
2006-05-25,1140.351,1324.919,1307.697,1591.425
2006-05-26,1170.277,1355.501,1331.02,1613.894
2006-05-29,1198.812,1387.524,1366.292,1648.538
2006-05-30,1218.733,1410.542,1378.756,1657.288
2006-05-31,1224.025,1402.332,1365.451,1641.3
2006-06-01,1278.241,1455.741,1402.879,1684.195
2006-06-02,1287.824,1457.763,1390.116,1669.399
2006-06-05,1323.452,1484.29,1403.163,1684.624
2006-06-06,1322.521,1470.449,1399.142,1679.126
2006-06-07,1244.919,1370.809,1320.233,1589.545
2006-06-08,1242.221,1376.079,1325.979,1591.49
2006-06-09,1214.086,1346.481,1294.185,1551.384
2006-06-12,1211.76,1352.582,1297.67,1552.798
2006-06-13,1220.087,1361.526,1298.276,1548.495
2006-06-14,1218.234,1347.878,1283.88,1531.327
2006-06-15,1227.781,1352.336,1285.385,1533.98
2006-06-16,1254.813,1382.41,1318.01,1574.467
2006-06-19,1268.851,1397.995,1334.893,1586.286
2006-06-20,1285.232,1414.905,1338.223,1592.332
2006-06-21,1278.463,1410.502,1333.532,1598.116
2006-06-22,1280.871,1411.278,1331.553,1596.066
2006-06-23,1297.753,1430.513,1339.446,1605.711
2006-06-26,1319.451,1457.137,1363.413,1633.449
2006-06-27,1325.167,1464.686,1363.896,1639.551
2006-06-28,1326.392,1461.793,1362.885,1639.286
2006-06-29,1349.111,1488.164,1395.124,1671.618
2006-06-30,1336.66,1485.995,1393.963,1672.211
2006-07-03,1356.294,1514.068,1420.328,1697.282
2006-07-04,1348.165,1508.839,1411.013,1681.547
2006-07-05,1345.327,1497.656,1393.009,1718.555
2006-07-06,1382.228,1539.177,1418.675,1741.47
2006-07-07,1383.647,1541.253,1410.429,1730.19
2006-07-10,1405.093,1550.04,1412.124,1734.329
2006-07-11,1417.302,1561.843,1418.575,1745.806
2006-07-12,1415.931,1562.06,1419.199,1740.0
2006-07-13,1314.4,1459.778,1346.088,1655.773
2006-07-14,1325.635,1470.467,1357.129,1665.208
2006-07-17,1351.158,1494.793,1372.254,1682.887
2006-07-18,1362.285,1506.592,1373.416,1684.252
2006-07-19,1337.526,1472.354,1336.644,1645.16
2006-07-20,1350.853,1484.409,1345.194,1655.122
2006-07-21,1352.62,1493.036,1356.033,1665.328
2006-07-24,1350.752,1496.607,1358.122,1665.944
2006-07-25,1369.892,1518.172,1374.17,1685.461
2006-07-26,1383.188,1523.863,1371.295,1686.654
2006-07-27,1375.139,1506.56,1355.545,1675.168
2006-07-28,1366.579,1492.114,1341.393,1662.031
2006-07-31,1309.657,1425.044,1294.328,1612.733
2006-08-01,1286.348,1408.902,1282.057,1600.614
2006-08-02,1273.414,1401.859,1275.088,1600.872
2006-08-03,1269.578,1401.156,1271.744,1601.058
2006-08-04,1221.196,1354.778,1241.908,1570.15
2006-08-07,1185.394,1323.726,1224.102,1547.436
2006-08-08,1226.901,1364.99,1252.386,1580.577
2006-08-09,1234.098,1367.395,1251.298,1578.566
2006-08-10,1253.947,1391.144,1271.473,1606.065
2006-08-11,1261.147,1398.011,1275.654,1605.926
2006-08-14,1219.077,1356.848,1245.721,1570.738
2006-08-15,1243.47,1383.361,1265.863,1595.657
2006-08-16,1262.194,1407.313,1283.567,1616.41
2006-08-17,1255.457,1395.718,1271.627,1603.332
2006-08-18,1246.437,1384.899,1267.866,1598.018
2006-08-21,1258.16,1392.969,1270.562,1601.15
2006-08-22,1271.185,1408.846,1285.268,1613.355
2006-08-23,1268.325,1403.578,1285.68,1612.396
2006-08-24,1286.406,1416.898,1292.401,1623.017
2006-08-25,1286.58,1421.095,1295.437,1623.034
2006-08-28,1316.237,1457.321,1325.894,1650.438
2006-08-29,1315.659,1456.44,1330.155,1651.024
2006-08-30,1329.203,1468.664,1334.671,1655.195
2006-08-31,1336.311,1479.9,1338.694,1658.638
2006-09-01,1310.68,1451.95,1318.099,1636.691
2006-09-04,1343.193,1484.443,1337.243,1657.52
2006-09-05,1344.887,1490.153,1340.682,1664.078
2006-09-06,1355.479,1497.005,1346.367,1672.121
2006-09-07,1334.173,1472.505,1328.377,1661.19
2006-09-08,1337.717,1473.922,1332.153,1667.984
2006-09-11,1348.99,1481.932,1338.755,1674.966
2006-09-12,1356.035,1487.741,1347.639,1695.862
2006-09-13,1339.065,1466.043,1338.386,1689.389
2006-09-14,1341.531,1467.796,1338.278,1689.692
2006-09-15,1354.517,1484.687,1362.322,1721.045
2006-09-18,1375.466,1507.942,1375.563,1732.987
2006-09-19,1378.547,1512.963,1378.309,1735.241
2006-09-20,1385.257,1517.29,1378.459,1732.453
2006-09-21,1390.204,1521.95,1387.37,1740.901
2006-09-22,1376.903,1509.385,1374.852,1725.361
2006-09-25,1381.099,1514.277,1372.399,1722.366
2006-09-26,1381.724,1508.2,1357.646,1712.637
2006-09-27,1391.083,1522.45,1371.117,1725.039
2006-09-28,1399.31,1535.272,1387.002,1736.963
2006-09-29,1411.509,1550.803,1403.265,1752.424
2006-10-09,1433.785,1579.521,1436.074,1785.385
2006-10-10,1439.838,1588.806,1437.245,1784.862
2006-10-11,1446.87,1591.451,1435.906,1790.104
2006-10-12,1434.159,1567.291,1426.5,1778.181
2006-10-13,1442.024,1575.861,1430.882,1784.656
2006-10-16,1440.441,1567.085,1418.517,1771.299
2006-10-17,1438.817,1568.509,1414.448,1763.901
2006-10-18,1453.101,1588.59,1437.593,1787.185
2006-10-19,1456.88,1597.38,1439.377,1792.253
2006-10-20,1444.568,1587.902,1440.182,1790.364
2006-10-23,1405.312,1537.321,1408.715,1759.394
2006-10-24,1438.415,1577.086,1440.054,1805.181
2006-10-25,1426.437,1565.901,1446.825,1806.646
2006-10-26,1411.511,1556.69,1456.095,1810.646
2006-10-27,1387.603,1530.26,1439.05,1807.175
2006-10-30,1382.044,1527.216,1446.239,1809.656
2006-10-31,1396.959,1541.639,1464.473,1837.993
2006-11-01,1403.52,1548.518,1479.409,1855.713
2006-11-02,1397.877,1545.826,1479.656,1851.314
2006-11-03,1405.003,1549.655,1488.291,1866.362
2006-11-06,1400.539,1540.606,1507.891,1886.307
2006-11-07,1379.306,1525.649,1516.104,1889.53
2006-11-08,1375.243,1521.448,1498.173,1866.817
2006-11-09,1392.82,1537.862,1524.714,1896.482
2006-11-10,1353.478,1498.871,1504.062,1883.347
2006-11-13,1306.784,1445.679,1475.779,1863.765
2006-11-14,1325.162,1461.716,1493.776,1888.239
2006-11-15,1342.704,1484.446,1534.762,1922.935
2006-11-16,1321.501,1462.675,1533.288,1941.547
2006-11-17,1333.441,1476.745,1562.084,1971.793
2006-11-20,1322.586,1466.653,1593.158,2017.279
2006-11-21,1330.852,1477.679,1612.249,2037.552
2006-11-22,1340.399,1500.813,1624.028,2041.355
2006-11-23,1350.144,1509.315,1634.914,2062.363
2006-11-24,1362.567,1532.019,1636.58,2050.812
2006-11-27,1386.247,1567.049,1651.801,2047.277
2006-11-28,1392.401,1577.179,1644.014,2038.721
2006-11-29,1402.456,1596.998,1667.142,2054.091
2006-11-30,1421.484,1623.816,1714.358,2099.289
2006-12-01,1429.849,1629.207,1729.224,2102.049
2006-12-04,1450.571,1663.197,1780.736,2161.648
2006-12-05,1461.377,1675.458,1794.231,2173.285
2006-12-06,1441.369,1649.139,1779.411,2156.604
2006-12-07,1429.167,1632.908,1775.714,2156.75
2006-12-08,1380.103,1571.183,1711.584,2093.638
2006-12-11,1415.908,1621.263,1789.924,2180.496
2006-12-12,1420.925,1626.586,1802.788,2218.951
2006-12-13,1427.682,1634.84,1803.856,2223.455
2006-12-14,1446.218,1662.266,1836.143,2249.11
2006-12-15,1460.182,1689.671,1867.636,2273.908
2006-12-18,1481.208,1717.225,1916.108,2332.434
2006-12-19,1493.616,1724.533,1921.444,2364.177
2006-12-20,1525.952,1756.002,1936.547,2373.205
2006-12-21,1517.89,1737.381,1908.985,2342.938
2006-12-22,1507.885,1728.396,1895.644,2343.668
2006-12-25,1523.821,1744.817,1939.104,2435.762
2006-12-26,1507.067,1726.777,1938.238,2479.732
2006-12-27,1511.795,1738.525,1982.877,2536.387
2006-12-28,1472.15,1704.724,1979.933,2567.594
2006-12-29,1485.099,1726.146,2041.047,2675.474
2007-01-04,1480.938,1723.686,2067.092,2715.719
2007-01-05,1517.497,1770.475,2072.883,2641.334
2007-01-08,1571.82,1851.964,2131.556,2707.199
2007-01-09,1610.196,1891.871,2200.086,2807.804
2007-01-10,1653.723,1940.832,2255.966,2825.576
2007-01-11,1669.98,1952.236,2231.629,2770.11
2007-01-12,1616.332,1881.753,2173.747,2668.11
2007-01-15,1683.896,1986.539,2287.342,2794.701
2007-01-16,1727.785,2055.02,2353.874,2821.017
2007-01-17,1730.598,2035.65,2308.931,2778.9
2007-01-18,1776.393,2085.4,2317.095,2756.983
2007-01-19,1836.652,2159.64,2396.093,2832.207
2007-01-22,1906.274,2258.99,2491.313,2933.19
2007-01-23,1921.528,2261.78,2508.13,2949.144
2007-01-24,1926.327,2283.7,2536.428,2975.129
2007-01-25,1853.938,2174.24,2452.831,2857.365
2007-01-26,1860.58,2186.27,2512.922,2882.558
2007-01-29,1924.457,2260.6,2576.917,2945.263
2007-01-30,1910.418,2255.94,2551.884,2930.562
2007-01-31,1830.289,2142.89,2385.335,2786.335
2007-02-01,1834.238,2165.4,2395.172,2785.432
2007-02-02,1806.409,2127.1,2298.003,2673.212
2007-02-05,1827.62,2152.25,2271.797,2612.537
2007-02-06,1876.417,2198.24,2316.04,2675.697
2007-02-07,1900.951,2237.94,2369.787,2716.175
2007-02-08,1936.736,2278.45,2410.601,2737.732
2007-02-09,1938.723,2287.38,2397.245,2730.386
2007-02-12,1979.741,2341.07,2485.392,2807.174
2007-02-13,2011.05,2384.16,2522.63,2831.872
2007-02-14,2052.67,2435.96,2588.349,2905.093
2007-02-15,2112.065,2512.4,2668.633,2993.008
2007-02-16,2165.066,2541.41,2676.735,2998.474
2007-02-26,2271.811,2642.11,2707.676,3040.599
2007-02-27,2097.431,2405.57,2457.492,2771.791
2007-02-28,2199.827,2513.53,2544.571,2881.073
